,track_name,track_id,track_popularity,artist_name,track_image_link,release_date
105,Canela Pura,Q2FuZWxhIFB1cmFfTGEgU29ub3JhIFNhbnRhbmVyYQ==,19,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b27366ac8dd456ffe26126dfc4f1,1950-01-01
106,Cherry Pink and Apple Blossom White,Q2hlcnJ5IFBpbmsgYW5kIEFwcGxlIEJsb3Nzb20gV2hpdGVfUMOpcmV6IFByYWRv,28,Pérez Prado,https://i.scdn.co/image/ab67616d0000b2739f58890e82b4032dffe07e4b,1950-11-26
107,Will You Still Be Mine,V2lsbCBZb3UgU3RpbGwgQmUgTWluZV9BaG1hZCBKYW1hbA==,24,Ahmad Jamal,https://i.scdn.co/image/ab67616d0000b273176d16659efad0c1d1598aac,1951-01-01
108,De Temps en Temps (Alternative Take),RGUgVGVtcHMgZW4gVGVtcHMgKEFsdGVybmF0aXZlIFRha2UpX0pvc8OpcGhpbmUgQmFrZXI=,27,Joséphine Baker,https://i.scdn.co/image/ab67616d0000b273c20a63cb08d8a87791f0b978,1951-05-26
109,Eager Beaver,RWFnZXIgQmVhdmVyX1N0YW4gS2VudG9uICYgSGlzIE9yY2hlc3RyYQ==,23,Stan Kenton & His Orchestra,https://i.scdn.co/image/ab67616d0000b273384af51c85cb38b817bfe6f5,1950-01-01
110,La Strada,TGEgU3RyYWRhX1RvbnkgTW90dG9sYQ==,28,Tony Mottola,https://i.scdn.co/image/ab67616d0000b27322e04d4d7692cc4d7fdd3ae0,1950-05-26
111,My One And Only,TXkgT25lIEFuZCBPbmx5X0VsbGEgRml0emdlcmFsZA==,25,Ella Fitzgerald,https://i.scdn.co/image/ab67616d0000b273f3207aaf4dc5cad05fd14583,1950-09-11
112,Blue Moon,Qmx1ZSBNb29uX1d5bnRvbiBLZWxseQ==,25,Wynton Kelly,https://i.scdn.co/image/ab67616d0000b273f649c1e01b411348b5e4b383,1951-07-28
113,A Gal In Calico,QSBHYWwgSW4gQ2FsaWNvX0FobWFkIEphbWFs,23,Ahmad Jamal,https://i.scdn.co/image/ab67616d0000b273176d16659efad0c1d1598aac,1951-01-01
114,El Nido,RWwgTmlkb19MYSBTb25vcmEgU2FudGFuZXJh,35,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2732c779dfbc19f362ffc0c171b,1950-01-01
